key,frames,ref_notes,est_notes
F01_0195_0002_1_D,961,25,25
F01_0195_0002_2_D,961,25,25
F01_0208_0001_1_D,1705,20,20
F01_0208_0001_2_D,1705,20,20
F01_0208_0002_1_D,978,13,13
F01_0208_0002_2_D,978,13,13
F01_0221_0001_1_D,1067,20,18
F01_0221_0001_2_D,1067,20,19
F01_0221_0002_1_D,1067,23,22
F01_0221_0002_2_D,1067,23,22
F01_0233_0001_1_D,1212,20,20
F01_0233_0001_2_D,1212,20,19
F01_0233_0002_1,2300,36,36
F01_0265_0001_1_D,1705,29,29
F01_0265_0001_2_D,1705,29,29
F01_0265_0002_1_D,1943,37,37
F01_0265_0002_2_D,1943,37,35
F01_0329_0001_1,759,18,16
F01_0329_0001_2,759,18,16
F01_0329_0002_1,977,21,21
F01_0329_0002_2,977,21,21
F01_0347_0001_1_D,1446,30,30
F01_0347_0001_2_D,1446,30,30
F01_0347_0002_1_D,1664,37,36
F01_0347_0002_2_D,1664,37,37
F01_0353_0001_1_D,1154,24,24
F01_0353_0001_2_D,1154,24,24
F01_0353_0002_1_D,1431,26,26
F01_0353_0002_2_D,1431,26,26
F01_0355_0001_1,1258,18,18
F01_0355_0001_2,1258,18,19
F01_0355_0002_1_D,1422,18,18
F01_0355_0002_2_D,1422,18,18
F01_0362_0001_1_D,2401,39,41
F01_0362_0001_2_D,2401,39,40
F01_0362_0002_1_D,2481,38,39
F01_0362_0002_2_D,2481,38,38
F01_0459_0001_1,976,29,27
F01_0459_0001_2,976,29,26
F01_0459_0002_1_D,916,22,21
F01_0459_0002_2_D,916,22,22
F01_0477_0001_1_D,2094,35,35
F01_0477_0001_2_D,2094,35,34
F01_0477_0002_1_D,1105,22,23
F01_0477_0002_2_D,1105,22,22
F01_0489_0001_1_D,1372,24,24
F01_0489_0001_2_D,1372,24,25
F01_0489_0002_1_D,1372,24,25
F01_0489_0002_2_D,1372,24,24
F02_0024_0001_1_D,1370,18,18
F02_0024_0001_2_D,1370,18,19
F02_0024_0002_1_D,1544,18,23
F02_0024_0002_2_D,1544,18,20
F02_0024_0003_1_D,1544,18,21
F02_0024_0003_2_D,1544,18,19
F02_0036_0001_1,795,24,24
F02_0036_0001_2,795,24,24
F02_0036_0002_1,795,24,25
F02_0036_0002_2,795,24,25
F02_0047_0001_1_D,1938,43,37
F02_0047_0001_2_D,1938,43,44
F02_0047_0002_1_D,938,23,22
F02_0047_0002_2_D,938,23,22
F02_0052_0001_1,1988,22,27
F02_0052_0001_2,1988,22,32
F02_0052_0002_1_D,1985,22,22
F02_0052_0002_2_D,1985,22,26
F02_0052_0003_1_D,1985,22,24
F02_0052_0003_2_D,1985,22,27
F02_0067_0001_1,1084,22,21
F02_0067_0001_2,1084,22,23
F02_0067_0002_1,2111,48,47
F02_0067_0002_2,2111,48,48
F02_0095_0001_1_D,2001,44,44
F02_0095_0001_2_D,2001,44,47
F02_0095_0002_1_D,1001,22,23
F02_0095_0002_2_D,1001,22,24
F02_0095_0003_1_D,1001,22,23
F02_0095_0003_2_D,1001,22,22
F02_0113_0001_1_D,873,20,19
F02_0113_0001_2_D,873,20,18
F02_0113_0002_1_D,873,22,22
F02_0113_0002_2_D,873,22,22
F02_0126_0001_1_D,1754,28,28
F02_0126_0001_2_D,1754,28,27
F02_0126_0002_1_D,2170,28,39
F02_0126_0002_2_D,2170,28,39
F02_0126_0003_1_D,1824,26,30
F02_0126_0003_2_D,1824,26,32
F02_0143_0001_1,1559,34,35
F02_0149_0001_1_D,1501,32,31
F02_0149_0001_2_D,1501,32,29
F02_0149_0002_1_D,1985,32,32
F02_0149_0002_2_D,1985,32,33
F02_0167_0001_1_D,1244,19,21
F02_0167_0001_2_D,1244,19,20
F02_0167_0002_1_D,1244,17,18
F02_0167_0002_2_D,1244,17,19
F02_0190_0001_2,1193,21,25
F02_0195_0001_1_D,961,27,27
F02_0195_0001_2_D,961,27,27
F02_0195_0002_1_D,961,25,25
F02_0195_0002_2_D,961,25,26
F02_0208_0001_1_D,1705,20,21
F02_0208_0001_2_D,1705,20,22
F02_0208_0002_1_D,978,13,16
F02_0208_0002_2_D,978,13,15
F02_0221_0001_1_D,1067,20,20
F02_0221_0001_2_D,1067,20,24
F02_0221_0002_1_D,1067,23,27
F02_0221_0002_2_D,1067,23,24
F02_0233_0001_1_D,1212,20,19
F02_0233_0001_2_D,1212,20,21
F02_0265_0001_1_D,1705,29,33
F02_0265_0001_2_D,1705,29,34
F02_0265_0002_1_D,1943,37,42
F02_0265_0002_2_D,1943,37,42
F02_0329_0001_1,759,18,16
F02_0329_0001_2,759,18,19
F02_0329_0002_1,977,21,23
F02_0347_0001_1_D,1446,30,30
F02_0347_0002_1_D,1664,37,38
F02_0347_0002_2_D,1664,37,40
F02_0353_0001_1_D,1154,24,25
F02_0353_0001_2_D,1154,24,27
F02_0353_0002_1_D,1431,26,27
F02_0353_0002_2_D,1431,26,28
F02_0355_0001_1_D,1264,18,18
F02_0355_0001_2_D,1264,18,17
F02_0355_0002_1_D,1422,18,18
F02_0355_0002_2_D,1422,18,19
F02_0362_0001_1_D,2401,39,41
F02_0362_0001_2_D,2401,39,43
F02_0362_0002_1_D,2481,38,41
F02_0362_0002_2_D,2481,38,44
F03_0024_0001_1,1374,18,19
F03_0024_0003_1_D,1544,18,18
F03_0036_0001_2,795,24,22
F03_0036_0002_1,795,24,24
F03_0036_0002_2,795,24,23
F03_0047_0001_1_D,1938,43,40
F03_0052_0001_1,1988,22,31
F03_0052_0001_2,1988,22,32
F03_0052_0002_2,1988,22,31
F03_0095_0001_1_D,2001,44,42
F03_0095_0001_2_D,2001,44,45
F03_0095_0002_1_D,1001,22,22
F03_0095_0002_2_D,1001,22,22
F03_0095_0003_1_D,1001,22,22
F03_0095_0003_2_D,1001,22,22
F03_0126_0003_1_D,1824,26,26
F03_0126_0003_2_D,1824,26,26
F03_0167_0001_1_D,1244,19,19
F03_0167_0001_2_D,1244,19,19
F03_0167_0002_1_D,1244,17,18
F03_0167_0002_2_D,1244,17,17
F03_0195_0001_1_D,961,27,27
F03_0195_0001_2_D,961,27,27
F03_0195_0002_1_D,961,25,25
F03_0195_0002_2_D,961,25,25
F03_0221_0001_2_D,1067,20,18
F03_0221_0002_1_D,1067,23,22
F03_0221_0002_2_D,1067,23,23
F03_0233_0001_1_D,1212,20,20
F03_0233_0001_2_D,1212,20,20
F03_0265_0001_1_D,1705,29,30
F03_0265_0001_2_D,1705,29,29
F03_0265_0002_1_D,1943,37,37
F03_0265_0002_2_D,1943,37,35
F03_0329_0002_1,977,21,23
F03_0347_0001_1_D,1446,30,30
F03_0347_0001_2_D,1446,30,30
F03_0347_0002_1_D,1664,37,35
F03_0347_0002_2_D,1664,37,34
F03_0353_0001_1_D,1154,24,24
F03_0353_0001_2_D,1154,24,24
F03_0353_0002_1_D,1431,26,27
F03_0353_0002_2_D,1431,26,29
F03_0355_0002_1_D,1422,18,18
F03_0355_0002_2_D,1422,18,18
F03_0362_0001_1_D,2401,39,39
F03_0362_0001_2_D,2401,39,39
F03_0362_0002_1_D,2481,38,38
F03_0362_0002_2_D,2481,38,38
F03_0459_0001_1_D,979,29,28
F03_0459_0001_2_D,979,29,27
F03_0459_0002_1_D,916,22,21
F03_0459_0002_2_D,916,22,21
F03_0477_0001_1_D,2094,35,35
F03_0477_0001_2_D,2094,35,36
F03_0477_0002_1_D,1105,22,22
F03_0477_0002_2_D,1105,22,22
F03_0489_0001_1_D,1372,24,24
F03_0489_0001_2_D,1372,24,24
F03_0489_0002_1_D,1372,24,24
F03_0489_0002_2_D,1372,24,24
F04_0024_0001_1_D,1370,18,18
F04_0024_0001_2_D,1370,18,18
F04_0024_0002_1_D,1544,18,18
F04_0024_0002_2_D,1544,18,18
F04_0024_0003_1_D,1544,18,18
F04_0024_0003_2_D,1544,18,18
F04_0052_0002_1_D,1985,22,22
F04_0052_0003_1_D,1985,22,23
F04_0052_0003_2_D,1985,22,23
F04_0067_0001_1_D,1091,22,21
F04_0067_0001_2_D,1091,22,22
F04_0067_0002_1_D,2114,48,43
F04_0067_0002_2_D,2114,48,46
F04_0095_0001_1_D,2001,44,44
F04_0095_0001_2_D,2001,44,44
F04_0095_0002_1_DD,1001,22,22
F04_0095_0002_2_DD,1001,22,22
F04_0095_0003_1_D,1001,22,22
F04_0095_0003_2_D,1001,22,22
F04_0113_0001_1_D,873,20,19
F04_0113_0001_2_D,873,20,19
F04_0113_0002_1_D,873,22,22
F04_0113_0002_2_D,873,22,22
F04_0113_0003_1_DD,928,24,24
F04_0113_0003_2_DD,928,24,24
F04_0126_0001_1_D,1754,28,31
F04_0126_0001_2_D,1754,28,31
F04_0126_0002_1_D,2170,28,32
F04_0126_0002_2_D,2170,28,32
F04_0126_0003_1_DD,1824,26,26
F04_0126_0003_2_DD,1824,26,31
F04_0149_0002_1_D,1985,32,32
F04_0149_0002_2_D,1985,32,33
F04_0167_0001_1_D,1244,19,19
F04_0167_0001_2_D,1244,19,19
F04_0167_0002_1_D,1244,17,17
F04_0167_0002_2_D,1244,17,17
F04_0195_0001_2_D,961,27,27
F04_0208_0001_1_D,1705,20,21
F04_0208_0001_2_D,1705,20,22
F04_0208_0002_1_D,978,13,14
F04_0221_0001_2_D,1067,20,19
F04_0221_0002_1_D,1067,23,21
F04_0221_0002_2_D,1067,23,22
F04_0233_0001_1_D,1212,20,19
F04_0233_0001_2_D,1212,20,20
F04_0265_0001_1_D,1705,29,30
F04_0265_0002_1_D,1943,37,36
F04_0265_0002_2_D,1943,37,38
F04_0329_0002_1,977,21,18
F04_0347_0001_1_D,1446,30,31
F04_0347_0001_2_D,1446,30,30
F04_0347_0002_1_D,1664,37,38
F04_0347_0002_2_D,1664,37,36
F04_0353_0001_1_D,1154,24,24
F04_0353_0001_2_D,1154,24,24
F04_0353_0002_1_D,1431,26,28
F04_0353_0002_2_D,1431,26,28
F04_0355_0002_1_D,1422,18,20
F04_0362_0001_1_D,2401,39,39
F04_0362_0001_2_D,2401,39,39
F04_0362_0002_1_D,2481,38,40
F04_0362_0002_2_D,2481,38,41
F04_0459_0001_1_D,979,29,27
F04_0459_0001_2_D,979,29,27
F04_0459_0002_1_D,916,22,22
F04_0459_0002_2_D,916,22,22
F04_0477_0001_1_D,2094,35,36
F04_0477_0001_2_D,2094,35,36
F04_0477_0002_1_D,1105,22,22
F04_0477_0002_2_D,1105,22,23
F04_0489_0001_1_D,1372,24,25
F04_0489_0001_2_D,1372,24,24
F04_0489_0002_1_D,1372,24,24
F04_0489_0002_2_D,1372,24,24
F05_0036_0001_1,795,24,26
F05_0047_0001_2_D,1938,43,42
F05_0095_0001_1_D,2001,44,44
F05_0095_0001_2_D,2001,44,44
F05_0113_0001_1_D,873,20,20
F05_0126_0002_1_D,2170,28,29
F05_0126_0002_2_D,2170,28,29
F05_0143_0002_1,907,23,24
F05_0167_0001_1_D,1244,19,19
F05_0167_0001_2_D,1244,19,19
F05_0195_0002_2_D,961,25,25
F05_0208_0001_1_D,1705,20,20
F05_0208_0002_1_D,978,13,13
F05_0221_0001_2,1060,20,19
F05_0221_0002_1_D,1067,23,23
F05_0233_0001_1_D,1212,20,20
F05_0233_0001_2_D,1212,20,20
F05_0265_0001_2_D,1705,29,30
F05_0265_0002_1_D,1943,37,38
F05_0265_0002_2_D,1943,37,37
F05_0353_0001_1_D,1154,24,24
F05_0353_0001_2_D,1154,24,24
F05_0353_0002_1_D,1431,26,26
F05_0355_0002_1_D,1422,18,20
F05_0459_0002_2_D,916,22,22
F05_0477_0001_1_D,2094,35,35
F05_0477_0001_2_D,2094,35,35
F05_0477_0002_1_D,1105,22,22
F05_0477_0002_2_D,1105,22,22
F05_0489_0001_1_D,1372,24,24
F05_0489_0001_2_D,1372,24,24
F05_0489_0002_1_D,1372,24,25
F05_0489_0002_2_D,1372,24,24
M01_0024_0001_1,1374,18,25
M01_0024_0002_1,1548,18,27
M01_0024_0002_2,1548,18,37
M01_0024_0003_1,1548,18,31
M01_0036_0001_1,795,24,24
M01_0036_0001_2,795,24,23
M01_0036_0002_1,795,24,24
M01_0036_0002_2,795,24,25
M01_0047_0001_1_D,1938,43,39
M01_0047_0001_2_D,1938,43,42
M01_0047_0002_1_D,938,23,22
M01_0047_0002_2_D,938,23,23
M01_0052_0001_1,1988,22,24
M01_0052_0001_2,1988,22,24
M01_0052_0002_1,1988,22,24
M01_0052_0003_1,1988,22,24
M01_0052_0003_2,1988,22,30
M01_0067_0001_1,1084,22,26
M01_0067_0001_2,1084,22,21
M01_0067_0002_1,2111,48,53
M01_0067_0002_2,2111,48,47
M01_0095_0001_1,1994,44,49
M01_0095_0001_2,1994,44,49
M01_0095_0002_1_D,1001,22,25
M01_0095_0002_2_D,1001,22,25
M01_0095_0003_1_D,1001,22,26
M01_0095_0003_2,994,22,28
M01_0113_0002_1_D,873,22,22
M01_0113_0002_2_D,873,22,23
M01_0113_0003_1_D,928,24,25
M01_0113_0003_2_D,928,24,27
M01_0126_0001_1,1748,28,30
M01_0126_0001_2,1748,28,31
M01_0126_0002_1,2163,28,31
M01_0126_0002_2,2163,28,31
M01_0126_0003_1_D,1824,26,27
M01_0126_0003_2_D,1824,26,32
M01_0143_0001_1,1559,34,34
M01_0143_0001_2,1559,34,31
M01_0143_0002_1,907,23,23
M01_0143_0002_2,907,23,25
M01_0149_0001_1,1499,32,31
M01_0149_0001_2,1499,32,31
M01_0149_0002_1,1986,32,34
M01_0149_0002_2,1986,32,34
M01_0167_0001_1,1252,19,24
M01_0167_0001_2,1252,19,22
M01_0167_0002_1,1248,17,25
M01_0167_0002_2,1248,17,20
M01_0190_0001_1,1193,21,24
M01_0190_0001_2,1193,21,24
M01_0190_0002_2,1043,19,23
M01_0195_0001_1_D,961,27,27
M01_0195_0001_2,954,27,29
M01_0195_0002_1_D,961,25,26
M01_0195_0002_2,954,25,25
M01_0208_0001_1,1714,20,25
M01_0221_0001_1_D,1067,20,21
M01_0221_0001_2_D,1067,20,18
M01_0221_0002_1_D,1067,23,22
M01_0221_0002_2,1060,23,27
M01_0233_0001_1,1220,20,30
M01_0233_0001_2,1220,20,21
M01_0233_0002_1,2300,36,40
M01_0233_0002_2,2300,36,39
M01_0265_0001_1_D,1705,29,31
M01_0265_0001_2_D,1705,29,34
M01_0265_0002_1_D,1943,37,36
M01_0265_0002_2_D,1943,37,37
M01_0329_0001_1,759,18,16
M01_0329_0001_2,759,18,16
M01_0329_0002_1,977,21,20
M01_0329_0002_2,977,21,21
M01_0347_0001_1_D,1446,30,35
M01_0347_0001_2_D,1446,30,35
M01_0347_0002_2,1659,37,38
M01_0353_0001_1,1148,24,30
M01_0353_0001_2,1148,24,29
M01_0353_0002_1_D,1431,26,28
M01_0353_0002_2_D,1431,26,28
M01_0355_0001_1,1258,18,24
M01_0355_0001_2,1258,18,19
M01_0355_0002_1,1413,18,27
M01_0355_0002_2,1413,18,26
M01_0362_0001_1,2392,39,56
M01_0362_0001_2,2392,39,53
M01_0362_0002_2,2472,38,47
M01_0459_0001_1,976,29,30
M01_0459_0001_2,976,29,28
M01_0459_0002_1,910,22,21
M01_0459_0002_2,910,22,21
M01_0477_0001_1,2086,35,45
M01_0477_0002_1,1108,22,25
M01_0477_0002_2,1108,22,28
M01_0489_0001_1,1365,24,25
M01_0489_0001_2,1365,24,27
M01_0489_0002_2,1365,24,25
M02_0024_0001_1,1374,18,20
M02_0024_0001_2,1374,18,24
M02_0024_0002_1,1548,18,24
M02_0024_0002_2,1548,18,22
M02_0024_0003_1_D,1544,18,22
M02_0024_0003_2_D,1544,18,23
M02_0036_0001_1,795,24,20
M02_0036_0002_1,795,24,21
M02_0047_0001_1_D,1938,43,37
M02_0047_0001_2_D,1938,43,44
M02_0047_0002_1_D,938,23,22
M02_0047_0002_2_D,938,23,24
M02_0052_0001_1,1988,22,36
M02_0052_0001_2,1988,22,30
M02_0052_0002_1,1988,22,35
M02_0052_0002_2,1988,22,34
M02_0052_0003_1,1988,22,36
M02_0052_0003_2,1988,22,33
M02_0067_0001_1,1084,22,20
M02_0067_0001_2,1084,22,22
M02_0067_0002_1,2111,48,49
M02_0067_0002_2,2111,48,49
M02_0095_0001_1_D,2001,44,45
M02_0095_0001_2_D,2001,44,45
M02_0095_0002_1_D,1001,22,23
M02_0095_0002_2_D,1001,22,23
M02_0095_0003_1_D,1001,22,24
M02_0095_0003_2_D,1001,22,23
M02_0113_0001_1_D,873,20,20
M02_0113_0001_2_D,873,20,20
M02_0113_0002_1_D,873,22,22
M02_0113_0002_2_D,873,22,22
M02_0113_0003_1_D,928,24,23
M02_0113_0003_2_D,928,24,22
M02_0126_0001_1,1748,28,32
M02_0126_0001_2,1748,28,30
M02_0126_0001_2_D,1754,28,25
M02_0126_0002_1,2163,28,29
M02_0126_0003_1_D,1824,26,27
M02_0126_0003_2_D,1824,26,27
M02_0143_0001_1,1559,34,39
M02_0143_0001_2,1559,34,39
M02_0143_0002_1,907,23,23
M02_0143_0002_2,907,23,23
M02_0149_0001_1,1499,32,29
M02_0149_0001_2,1499,32,29
M02_0149_0002_1,1986,32,33
M02_0149_0002_2,1986,32,36
M02_0167_0001_1_D,1244,19,25
M02_0167_0001_2_D,1244,19,21
M02_0167_0002_1_D,1244,17,19
M02_0167_0002_2_D,1244,17,19
M02_0190_0001_1,1193,21,21
M02_0190_0001_2,1193,21,21
M02_0190_0002_1,1043,19,20
M02_0190_0002_2,1043,19,20
M02_0195_0001_1_D,961,27,26
M02_0195_0001_2_D,961,27,26
M02_0195_0002_1_D,961,25,25
M02_0195_0002_2_D,961,25,25
M02_0208_0001_1_D,1705,20,20
M02_0208_0001_2_D,1705,20,20
M02_0208_0002_1_D,978,13,13
M02_0208_0002_2_D,978,13,13
M02_0221_0001_1_D,1067,20,19
M02_0221_0001_2_D,1067,20,19
M02_0221_0002_1_D,1067,23,26
M02_0221_0002_2_D,1067,23,24
M02_0233_0001_1_D,1212,20,23
M02_0233_0001_2_D,1212,20,23
M02_0233_0002_1,2300,36,44
M02_0233_0002_2,2300,36,39
M02_0265_0001_1_D,1705,29,31
M02_0265_0001_2_D,1705,29,31
M02_0265_0002_1_D,1943,37,38
M02_0265_0002_2_D,1943,37,38
M02_0329_0001_1,759,18,15
M02_0329_0001_2,759,18,15
M02_0329_0002_1,977,21,21
M02_0329_0002_2,977,21,21
M02_0347_0001_1_D,1446,30,26
M02_0347_0001_2_D,1446,30,26
M02_0347_0002_1_D,1664,37,37
M02_0347_0002_2_D,1664,37,37
M02_0353_0001_1_D,1154,24,19
M02_0353_0001_2_D,1154,24,19
M02_0353_0002_1_D,1431,26,26
M02_0353_0002_2_D,1431,26,26
M02_0355_0001_1,1258,18,19
M02_0355_0001_2,1258,18,19
M02_0355_0002_1_D,1422,18,19
M02_0355_0002_2_D,1422,18,19
M02_0362_0001_1_D,2401,39,39
M02_0362_0001_2_D,2401,39,39
M02_0362_0002_1_D,2481,38,39
M02_0362_0002_2_D,2481,38,39
M02_0459_0001_1,976,29,26
M02_0459_0001_2,976,29,26
M02_0459_0002_1_D,916,22,22
M02_0459_0002_2_D,916,22,22
M02_0477_0002_1,1108,22,23
M02_0477_0002_2,1108,22,22
M02_0489_0001_1_D,1372,24,27
M02_0489_0001_2_D,1372,24,27
M02_0489_0002_1_D,1372,24,24
M02_0489_0002_2_D,1372,24,24
M03_0024_0001_1_DD,1370,18,17
M03_0024_0001_2_DD,1370,18,20
M03_0036_0001_1_DD,801,24,20
M03_0047_0001_1_DDD,1938,43,44
M03_0047_0001_2_DDD,1938,43,40
M03_0047_0002_1_DDD,938,23,25
M03_0047_0002_2_DDD,938,23,22
M03_0052_0001_1_D,1985,22,27
M03_0052_0001_2_D,1985,22,27
M03_0052_0002_1_DD,1985,22,25
M03_0052_0002_2_DD,1985,22,27
M03_0052_0003_1_DDD,1985,22,23
M03_0052_0003_2_DDD,1985,22,30
M03_0067_0001_1_DD,1091,22,20
M03_0067_0001_2_DD,1091,22,18
M03_0067_0002_1_DD,2114,48,43
M03_0067_0002_2_DD,2114,48,42
M03_0095_0001_1_DD,2001,44,42
M03_0095_0001_2_DD,2001,44,41
M03_0113_0001_1_DD,873,20,20
M03_0113_0001_2_DD,873,20,19
M03_0126_0002_1_DD,2170,28,26
M03_0126_0002_2_DD,2170,28,23
M03_0149_0002_1_DD,1985,32,30
M03_0167_0001_1_DD,1244,19,23
M03_0167_0002_1_DD,1244,17,18
M03_0167_0002_2_DD,1244,17,14
M03_0190_0001_1_DD,1201,21,21
M03_0190_0001_2_DD,1201,21,20
M03_0195_0001_1_DD,961,27,28
M03_0195_0001_2_DD,961,27,27
M03_0195_0002_2_DD,961,25,24
M03_0208_0001_2_DD,1705,20,19
M03_0233_0001_1_DD,1212,20,21
M03_0233_0002_1_DD,2308,36,34
M03_0265_0001_2_DDD,1705,29,30
M03_0265_0002_2_DD,1943,37,29
M03_0329_0001_1_DD,764,18,17
M03_0329_0001_2_DD,764,18,16
M03_0329_0002_1_DD,982,21,21
M03_0329_0002_2_DD,982,21,23
M03_0347_0002_1_DD,1664,37,31
M03_0347_0002_2_DD,1664,37,38
M03_0353_0002_1_DD,1431,26,27
M03_0353_0002_2_DD,1431,26,28
M03_0355_0001_1_DD,1264,18,12
M03_0355_0001_2_DD,1264,18,13
M03_0355_0002_1_DD,1422,18,20
M03_0355_0002_2_DD,1422,18,19
M03_0362_0001_2_DD,2401,39,37
M03_0362_0002_1_DD,2481,38,47
M03_0362_0002_2_DD,2481,38,44
M03_0459_0002_1_DD,916,22,16
M03_0477_0001_1_DD,2094,35,36
M03_0477_0002_1_DD,1105,22,21
M03_0477_0002_2_DD,1105,22,20
M03_0489_0001_1_DD,1372,24,26
M03_0489_0001_2_DD,1372,24,22
M04_0024_0001_1,1374,18,18
M04_0024_0001_2,1374,18,18
M04_0024_0002_1,1548,18,18
M04_0024_0002_2,1548,18,18
M04_0024_0003_1,1548,18,18
M04_0024_0003_2,1548,18,20
M04_0036_0001_1,795,24,25
M04_0036_0001_2,795,24,24
M04_0036_0002_1,795,24,24
M04_0036_0002_2,795,24,24
M04_0047_0001_1_D,1938,43,43
M04_0047_0001_2_D,1938,43,45
M04_0047_0002_1_D,938,23,23
M04_0047_0002_2_D,938,23,20
M04_0052_0001_1,1988,22,25
M04_0052_0001_2,1988,22,22
M04_0052_0002_1,1988,22,25
M04_0052_0002_2,1988,22,25
M04_0052_0003_1,1988,22,22
M04_0052_0003_2,1988,22,22
M04_0067_0001_1,1084,22,21
M04_0067_0001_2,1084,22,22
M04_0067_0002_1,2111,48,48
M04_0067_0002_2,2111,48,48
M04_0095_0001_1,1994,44,44
M04_0095_0001_2,1994,44,44
M04_0095_0002_1_D,1001,22,22
M04_0095_0002_2_D,1001,22,22
M04_0095_0003_1,994,22,23
M04_0095_0003_2,994,22,23
M04_0113_0001_1_D,873,20,19
M04_0113_0001_2_D,873,20,21
M04_0113_0002_1_D,873,22,23
M04_0113_0002_2_D,873,22,22
M04_0113_0003_1_D,928,24,24
M04_0113_0003_2_D,928,24,24
M04_0126_0001_1,1748,28,32
M04_0126_0001_2,1748,28,30
M04_0126_0002_1_D,2170,28,32
M04_0126_0002_2_D,2170,28,31
M04_0126_0003_1_D,1824,26,28
M04_0126_0003_2_D,1824,26,27
M04_0143_0001_1,1559,34,34
M04_0143_0001_2,1559,34,33
M04_0143_0002_1,907,23,22
M04_0143_0002_2,907,23,22
M04_0149_0001_1,1499,32,31
M04_0149_0001_2,1499,32,32
M04_0149_0002_1,1986,32,33
M04_0149_0002_2,1986,32,35
M04_0167_0001_1_D,1244,19,19
M04_0167_0001_2_D,1244,19,19
M04_0167_0002_1_D,1244,17,17
M04_0167_0002_2_D,1244,17,18
M04_0190_0001_1,1193,21,21
M04_0190_0001_2,1193,21,21
M04_0190_0002_1,1043,19,19
M04_0190_0002_2,1043,19,20
M04_0195_0001_1_D,961,27,27
M04_0195_0001_2_D,961,27,27
M04_0195_0002_1_D,961,25,25
M04_0195_0002_2_D,961,25,26
M04_0208_0001_1,1714,20,19
M04_0208_0002_1_D,978,13,15
M04_0208_0002_2_D,978,13,16
M04_0221_0001_2_D,1067,20,22
M04_0221_0002_1_D,1067,23,24
M04_0221_0002_2_D,1067,23,23
M04_0233_0001_1,1220,20,20
M04_0233_0001_2,1220,20,20
M04_0233_0002_1,2300,36,38
M04_0233_0002_2,2300,36,34
M04_0265_0001_1_D,1705,29,29
M04_0265_0001_2_D,1705,29,31
M04_0265_0002_1_D,1943,37,37
M04_0265_0002_2_D,1943,37,40
M04_0329_0001_1,759,18,16
M04_0329_0001_2,759,18,16
M04_0329_0002_1,977,21,22
M04_0347_0001_1_D,1446,30,29
M04_0347_0001_2_D,1446,30,32
M04_0347_0002_1_D,1664,37,36
M04_0347_0002_2_D,1664,37,39
M04_0353_0001_1_D,1154,24,22
M04_0353_0001_2_D,1154,24,22
M04_0353_0002_1_D,1431,26,26
M04_0353_0002_2_D,1431,26,26
M04_0355_0001_1,1258,18,21
M04_0355_0001_2,1258,18,20
M04_0355_0002_1_D,1422,18,20
M04_0355_0002_2_D,1422,18,21
M04_0362_0001_1_D,2401,39,44
M04_0362_0001_2_D,2401,39,42
M04_0362_0002_1_D,2481,38,38
M04_0362_0002_2_D,2481,38,39
M04_0459_0001_1,976,29,26
M04_0459_0001_2,976,29,27
M04_0459_0002_1_D,916,22,21
M04_0459_0002_2_D,916,22,22
M04_0477_0001_1,2086,35,33
M04_0477_0001_2,2086,35,36
M04_0477_0002_1,1108,22,22
M04_0477_0002_2,1108,22,23
M04_0489_0001_1_D,1372,24,23
