stem,layout,notes,nonempty_lines,numeric_tokens,first_onset_seconds,last_offset_seconds,audio_exists,audio_duration_seconds,annotation_within_audio,adjacent_overlap_count,sha256
q58,note_rows,37,37,111,0.792,28.432,True,29.374988662131518,True,0,0933c3629fe8190fbb3101eaaaf7ecc610ac26c9c1f28ebe96ff189ac995466d
q59,note_rows,29,29,87,0.646,16.101,True,16.81249433106576,True,0,42c4693aeb84b6c18f3db352c6c848e7e384e4c316877e4e04600dacbba4d2fb
q61,note_rows,29,29,87,0.268,14.221,True,14.968730158730159,True,0,fd1b5dcbd8eb1f947c9bbeb12847b77b0aad98894aa54dd2473dede6a8d4025e
q62,note_rows,32,32,96,0.552,26.379,True,27.374988662131518,True,0,a907515bff82a133f98875848c7ed08546ffbaaea652c6a6c50962c67e981233
q63,note_rows,34,34,102,0.427,17.19,True,17.875011337868482,True,0,87891f9a49830cb1a830d035528ad7f0db1b37220d3493e8353dfb7cd3a21154
q73,note_rows,39,39,117,0.51,20.419,True,20.75,True,0,c008761316fc00675c1f46a998c55bd6a9e17758638dc84f3364bfc90aa972ae
q8,note_rows,56,56,168,0.67,25.579,True,26.1562358276644,True,0,574b8babe68f5ee68f9edc3e5c091c7ccbf98f0cb4a466bafc78c6c63ea5b4ae
q80,value_vector,56,168,168,1.378,40.029,True,42.001995464852605,True,0,b730f994d3f68fc51fb7a7a83ecd56f7eab1452a01049a141eb0994c291472ea
q85,value_vector,23,69,69,1.553,22.672,True,24.618956916099773,True,0,0d7032ff8a7f243c101777eaf0e11142e4d62bcce7e1ca7cad6bd9ff49cc24b2
q86,value_vector,51,153,153,1.593,26.034,True,27.76235827664399,True,0,85b5da82ab4df684b13d5de856029df476d0f0dd637a9719e20c156040f95221
q87,value_vector,67,201,201,1.272,37.133,True,38.308571428571426,True,0,ffb280b754259be36787d28f536f8c73cfa22a0a2ede5c1ae22e76601475c1c6
q9,note_rows,43,43,129,0.355,17.18,True,17.883333333333333,True,0,bd01fe709589a01ba0ecd4f28044f542ef6753dc48666cd8482559987bf7e5d2
q96,note_rows,20,20,60,0.209,20.852,True,22.836825396825397,True,0,a5057b73ea866fda208110faba278c8b43f9a15d845f784b688a201ae1f25365
